sample_index,publication_id,reference_id,reference_order,source_doi,datacite_status,datacite_doi,datacite_title,datacite_publisher,datacite_year,datacite_type,datacite_url,confidence,title_coverage,title_similarity,title_token_count,author_coverage,year_match,request_key,query_source,query,context
3,1310658,22786126,14,,no_match,,,,,,,,,,,,,search:coskun nusret safa milli edebiyat yaratabilir miyiz hazirlayan saban ozdemir ankara colpan yayinlari 2019,context,coskun nusret safa milli edebiyat yaratabilir miyiz hazirlayan saban ozdemir ankara colpan yayinlari 2019,"Coşkun, Nusret Safa. Millî Bir Edebiyat Yaratabilir Miyiz?. Hazırlayan Şaban Özdemir. Ankara: Çolpan Yayınları, 2019."
4,1186783,17188825,15,,no_match,,,,,,,,,,,,,search:bozer ali gole celal kiymetli evrak hukuku basi banka ticaret hukuku arastirma enstitusu yayinlari ankara 2020,context,bozer ali gole celal kiymetli evrak hukuku basi banka ticaret hukuku arastirma enstitusu yayinlari ankara 2020,"Bozer Ali/Göle Celal, Kıymetli Evrak Hukuku, 9. Bası, Banka ve Ticaret Hukuku Araştırma Enstitüsü Yayınları, Ankara 2020."
5,1186783,17188890,80,,no_match,,,,,,,,,,,,,search:yesilova aras ece yuk senedinin ttk 859 turk ticaret kanunu nda yeniden yer almasi karayolu tasimaciliginda kiymetli evraka imkan verilmesi midir legal hukuk 123 2013,context,yesilova aras ece yuk senedinin ttk 859 turk ticaret kanunu nda yeniden yer almasi karayolu tasimaciliginda kiymetli evraka imkan verilmesi midir legal hukuk 123 2013,"Yeşilova Aras Ece, “Yük Senedinin (Ttk M. 859) Türk Ticaret Kanunu’nda Yeniden Yer Alması, Karayolu Taşımacılığında Kıymetli Evraka İmkan Verilmesi Midir?”, Legal Hukuk Dergisi, C. 11, S. 123, Y. 2013, s. 49 65."
7,1368239,25368331,64,,no_match,,,,,,,,,,,,,search:tang 2017 turkiye 1923 1950 donemi ulus devlet yapilanmasi genclik politikalari nation state formation youth policies turkey during 1923 1950 unpublished master thesis balikesir universitesi sosyal bilimler enstitusu sosyoloji abd balikesir,context,tang 2017 turkiye 1923 1950 donemi ulus devlet yapilanmasi genclik politikalari nation state formation youth policies turkey during 1923 1950 unpublished master thesis balikesir universitesi sosyal bilimler enstitusu sosyoloji abd balikesir,"Tanğ, E. (2017). Türkiye’de 1923–1950 dönemi ulus devlet yapılanması ve gençlik politikaları [Nation-state formation and youth policies in Turkey during 1923–1950] (Unpublished master’s thesis). Balıkesir Üniversitesi, Sosyal Bilimler Enstitüsü, Sosyoloji ABD, Balıkesir."
9,1341641,24271733,30,,no_match,,,,,,,,,,,,,search:guler laloglu olgun ceviz clinical characteristics pediatric patients first attack acute rheumatic fever follow ing updated guideline turk pediatri ars 2019 220 224,context,guler laloglu olgun ceviz clinical characteristics pediatric patients first attack acute rheumatic fever follow ing updated guideline turk pediatri ars 2019 220 224,"Güler M, Laloğlu F, Olgun H, Ceviz N. Clinical characteristics of pediatric patients with first-attack acute rheumatic fever follow-ing the updated guideline. Turk Pediatri Ars. 2019;54(4):220-224. [CrossRef]"
10,1272759,21059412,8,,no_match,,,,,,,,,,,,,search:baron 2007 modern milliyetcilik din acilim kitap,context,baron 2007 modern milliyetcilik din acilim kitap,"Baron, S. W. (2007). Modern milliyetçilik ve din. Açılım Kitap."
11,1272759,21059430,26,,no_match,,,,,,,,,,,,,search:kedourie 1971 avrupa milliyetcilik milli egitim basimevi,context,kedourie 1971 avrupa milliyetcilik milli egitim basimevi,"Kedourie, E. (1971). Avrupa’da milliyetçilik. Milli Eğitim Basımevi."
12,1272759,21059448,44,,no_match,,,,,,,,,,,,,search:rocker 2019 milliyetcilik kultur kaos,context,rocker 2019 milliyetcilik kultur kaos,"Rocker, R. (2019). Milliyetçilik ve kültür. Kaos."
13,1312602,22900134,45,,no_match,,,,,,,,,,,,,search:roth 1968 road conservation massachusetts audubon,context,roth 1968 road conservation massachusetts audubon,"Roth, C. E. (1968). On the Road to Conservation. Massachusetts Audubon, 38-41."
17,1311311,22813337,1,,no_match,,,,,,,,,,,,,search:adobe video motion 2024 april generative premiere pro powered adobe firefly adobe video video retrieved may 2024,context,adobe video motion 2024 april generative premiere pro powered adobe firefly adobe video video retrieved may 2024,"Adobe Video & Motion. (2024, 15 April). Generative AI in Premiere Pro powered by Adobe Firefly | Adobe Video [Video]. Retrieved from https://www.youtube.com/watch?v=6de4akFiNYM on May 16, 2024."
